Sample,Source
"Prótacal ar Reacht Chúirt Bhreithiúnais an Chomhphobail Eorpaigh do Fhuinneamh Adamhach
CHOMHPHOBAIL EORPAIGH DO FHUINNEAMH ADAMHACH,
Ós ΜΙΑΝ LEO Reacht na Cúirte dá bhforáiltear in Airteagal 160 den Chonradh seo a leagan síos,
TAR ÉIS na daoine seo a leanas a cheapadh mar Lánchumhachtaigh chuige sin:
A SHOILSE RÍ NA MBEILGEACH:
An Barún J. Ch.
SNOY ET D'OPPUERS, Ardrúnaí na hAireachta Gnóthaí Eacnamaíochta, Uachtarán Thoscaireacht na Beilge ag an gComhdháil Idir­Rialtasach;
UACHTARÁN PHOBLACHT CHÓNAIDHME NA GEARMÁINE:
An Dr. Carl Friedrich OPHÜLS, Ollamh, Ambasadóir Phoblacht Chónaidhme na Gearmáine, Uachtarán Thoscaireacht na Gearmáine ag an gComhdháil Idir­Rialtasach;
","OPUS QED, lines 19088 to 19097"
"Airteagal 120
Faoi réir na gcoinniollacha agus na dteorainneacha ama atá leagtha amach in Airteagail 121 go 126, féadfaidh na Ballstáit nua an léirscaoil­eadh ar ghluaiseachtaí caipitil a chur siar a bhforáiltear do leis an gcéad Treoir on gComhairle, dar data 11 Bealtaine 1960, chun Airteagal 67 de Chonradh CEE a chur i ngníomh agus leis an darà Treoir ón gComhairle, dar data 18 Nollaig 1962, ag comhlánú agus ag leasú na chéad Treorach chun Airteagal 67 de Chonradh CEE a chur i ngníomh.
Rachfar i ndáil chomhairle mar is gá, an tráth cui, idir na Ballstáit nua agus an Coimisiún maidir leis na modhanna chun bearta léirscaoilte nó maolaithe a chur i ngníomh ar féidir a bhfeidhm a chur siar de bhua na bhforálacha seo a leanas.
Airteagal 121
Féadfaidh an Danmhairg: a) léirscaoileadh a chur siar, ar feadh tréimhse dhá bhliain tar éis an aontachais. i gcás ceannach bannaí ag neamhchónaitheoiri, ar bannaí iad a rinneadh amach in Kroner na Danmhairge agus a ndéileáiltear iontu aran stocmhargadh sa Danmhairg. agus aistriú nithiúil na n­urrús thuasluaite á chur san áireamh: b) léirscaoileadh a chur siar, ar feadh tréimhse chúig bliana tar éis an aontachais, i gcás ceannach urrús coigríche, a ndéileáiltear iontu ar an stocmhargadh, ag cónaitheoirí sa Danmhairg, agus i gcás ath­cheannach ón gcoigrich ar urrúis Dhanmhargacha a ndéileáiltear iontu ar an stocmhargadh, a sonraíodh go hiomlán nó go páirleach in airgead coigríche. agus aistriú nithiúil na n­urrús thuasluaite á chur san áireamh.
Amhail ó dháta an aontachais, rachaidh an Danmhairg i gcionn léirscaoileadh comhleanúnach ar na hoibríochtaí dá dtagraítear i mir Ια).
Airteagal 122
Féadfaidh Éire: a) léirscaoileadh a chur siar. ar feadh tréimhse dhá bhliain tar éis an aontachais. i gcás infheistíochtaí díreacha sna Ballstáit ag cónaitheoírí in Éirinn agus i gcás réadú infheistíochtaí díreacha sna Ballstáit ag cónaitheoírí ín Éirinn;
Ih) léirscaoileadh a chur siar. ar feadh tréimhse tríocha mi lar éis an aontachais, i gcás gluaiseachtaí caipitil de chineál pearsanta mar a leanas:
","OPUS QED, lines 14447 to 14456"
"Forás inbhuanaithe: forbairt eacnamaíoch réigiúnach, gníomh chun forás, iomaíochas agus fostaíocht a chur chun cinn 382 Mrd EUR (44 %)
Caomhnú agus bainistiú acmhainní nádúrtha: talmhaíocht, forbairt inbhuanaithe agus an comhshaol 371 Mrd EUR (43 %)
BHAINISTIÚ A A
An AE ar an ardán domhanda: gníomh eachtrach, beartas forbraíochta, cabhair dhaonchairdiúil49 Mrd EUR (6 %)
Saoránacht, saoirse, slándáil agus ceartas: cosaint chearta na saoránach, saorghluaiseacht daoine, comhar póilíneachta agus breithiúnach, comhrac i gcoinne na sceimhlitheoireachta11 Mrd EUR (1 %)
Caiteachas eile, lena n-áirítear riarachán 51 Mrd EUR (6 %)
Forbairt eacnamaíoch inbhuanaithe a chur chun cinn ...
Baintear úsáid as cuid mhór de bhuiséad an Chomhphobail chun borradh a chur faoi fhorás eacnamaíoch agus chun éagothromaíocht idir réigiúin éagsúla na hEorpa a laghdú: caitear sciar mór den bhuiséad freisin ar thógáil mótarbhealaí agus iarnróid a nascann Ballstáit, ar chabhrú le gnólachtaí beaga agus ar thacú le taighde teicniúil agus tionscadail nuálachta (m.sh. chun cineálacha fuinnimh in-athnuaite a fhorbairt), etc.
Faigheann an Talmhaíocht, arb é an t-aon bheartas é a dhéantar a riaradh ina iomláine ar leibhéal an AE, sciar mór den bhuiséad.
","OPUS QED, lines 4688 to 4697"
"Mura dtugtar cinneadh ag gabháil leis. seasfaidh an modhnú a tairgeadh mar mhodhnú ar diúltaíodh dó;
— más rud é. de bhun forálacha cheann den dá fhomhír roimhe seo. go mbeidh an Chomhairle tar éis diúltú do mhodhnú a tairgeadh.
féadfaidh sí. ag gniomhú di tri thromlach cáilithe. an tsuim a thaispeántar sa dréachtbhuiséad a choinneáil nó suim eile a shocrú.
Modhnófar an dréachtbhuiséad de réir na modhnuithe a tairgeadh agus ar ghabh an Chomhairle leo.
Más rud é. laistigh de chúig lá dhéag ó cuireadh an dréachtbhuiséad sin faoina bráid. nach mbeidh an Chomhairle tar éis modhnú a dhéanamh ar aon cheann de na leasuithe lenar ghlac an Tionól agus má gabhadh leis na modhnuithe a thairg an Tionól. measfar go bhfuil glactha go críochnaitheach leis an mbuiséad.
Cuirfidh an Chomhairle i bhfios don Tionól nár mhodhnaigh sé aon cheann de na leasuithe agus gur gabhadh leis na modhnuithe a tairgeadh.
Más rud é. laistigh den tréimhse sin, go mbeidh an Chomhairle tar éis modhnú a dhéanamh ar cheann nó níos mó de na leasuithe lenar ghlac an Tionól nó má diúltaíodh do na modhnuithe a thairg an Tionól. nó má modhnaíodh iad, cuirfear an dréachtbhuiséad ama mhodhnú chuig an Tionól arís.
Cuirfidh an Chomhairle torthaí a pléití i bhfios don Tionól.
Laistigh de chúig lá dhéag tar éis an dréachtbhuiséad sin a chur faoina bhráid. agus fios tugtha dó ar cad a tharla i dtaobh na modhnuithe a thairg sé. féadfaidh an Tionól, ag gniomhú tri thromlach a chomhaltaí agus le tri chúigiú de na votai a caitheadh, modhnuithe na Comhairle ar leasuithe an Tionól a leasú nó a dhiúltú, agus glacfaidh sé leis an mbuiséad dá réir sin.
","OPUS QED, lines 8637 to 8646"
"Bainfidh an Conradh seo le Ríocht na Beilge, le Ríocht na Danmhairge, le Poblacht Chónaidhme na Gearmáine, le Poblacht na Fraince, le hÉirinn, le Poblacht na hlodáile, le hArdDiúiceacht Lucsamburg, le Ríocht na hísiltíre agus le Ríocht Aontaithe na Breataine Móire agus Thuaisceart Éireann.*
Mir 1 mar atá arna leasú le hAirteagal 26(1) den Ionstraim Aontachais, mar atá ama leasú le hAirteagal 15(1) den Chinneadh Oiriúnuithe.
Maidir leis an Ailgéir agus leis na ranna Francacha thar lear, beidh feidhm ag na forálacha ginearálta agus sonracha den Chonradh seo a bhaineann leis na nithe seo:
— saorghluaiseacht earraí ; — talmhaíocht, amach ó Airteagal 40(4); — léirscaoileadh seirbhisi; — na rialacha iomaíochta; — na bearta cosanta dá bhforáiltear in Airteagail 108, 109, agus 226; — na hinstitiúidí; a luaithe a thiocfaidh an Conradh seo i bhfeidhm.
Déanfar na coinníollacha faoina mbeidh feidhm ag forálacha eile an Chonartha seo a shocrú, laistigh de dhá bhliain tar éis an Chonradh seo a theacht i bhfeidhm, le cinntí ón gComhairle, ag gniomhú di d'aontoil ar thogra ón gCoimisiún.
Féachfaidh institiúidí an Chomhphobail chuige. faoi chuimsiú na nósanna imeachta dá bhforáiltear sa Chonradh seo. go háirithe in Air teagal 226. go mbeidh forbairt eacnamaíoch agus sóisialta na Iimistéar sin indéanta.
Bainfidh na socruithe speisialta i dtaobh comhlachais atá leagtha amach i gCuid a Ceathair den Chonradh seo leis na tíortha agus na críocha thar lear atá luaite sa liosta in Iarscribhinn IV a ghabhann leis an gConradh seo.
Ni bhainfidh an Conradh seo leis na tíortha agus na críocha thar lear a bhfuil caidreamh speisialta acu le Ríocht Aontaithe na Breataine Móire agus Thuaisceart Éireann agus nach bhfuil luaite sa liosta réamhráite. *
Bainfidh forálacha an Chonartha seo leis na críocha Eorpacha a bhfuil Ballstát freagrach ina gcaidreamh eachtrach.
","OPUS QED, lines 8798 to 8807"
"Déanfar an praghas ar a ndioltar an siúcra atá i geeist ar mhargadh na Riochta Aontaithe a shocrú ar leibhéal a áiritheoidh go ndíolfar na cainniochtaí atá i geeist go héifeachtúíl gan dochar do dhíolacháin siúcra an Chomhphobail.
De mhaolú ar na forálacha atá leagtha síos in Airteagal 15(1) de Rialachán (CEE) Uimh.
766/68 ag bunú rialacha ginearálta i dtaobh aisíocaíochtai ar onnmhairí siúcra, féadfar an t-aisíoc ar onnmhairí is infheidhme sa Ríocht Aontaithe a dheonú i gcás siúcra bán a gheofar as siúcra amh a allmhaireofar de bhun an Phrótacail seo.
Glacfaidh an Chomhairle, ag gniomhú di tri thromlach cáilithe ar thogra ón gCoimisiún, na bearta is gá chun forálacha an Phrótacail seo a chur i ngníomh ar mhodh a áiritheoidh dea-oibriú chomheagraíocht mhargadh an tsiúcra, go háirithe maidir le praghas díola an tsiúcra sin ar mhargadh na Riochta Aontaithe tráth feidhmiú na bhforálacha atá leaghta síos i mir 2.
18 ar allmhairí ime agus cáise ón Nua-Sbéalainn isteach sa Ríocht Aontaithe
Airteagal 1
Üdaraítear don Ríocht Aontaithe, faoi na coinníollacha seo a leanas agus mar shocrú sealadach, cainniochtaí áirithe ime agus cáise a all­mhairiú ón Nua­Shéalainn.
Is é méid na gcainníochtaí dá dtagraítear i mir 1 : α) maidir le him, do na chéad chúig bliana:
1973, 165 811 tonna méadrach 1974, 158 902 tonna méadrach 1975, 151 994 tonna méadrach 1976, 145 085 tonna méadrach i 1977, 138 176 tonna méadrach b) maidir le cáis:
","OPUS QED, lines 14947 to 14956"
"Dearbhú maidir le hAirteagal 100 den Chonradh ag bunú an Chomhphobail Eorpaigh
Dearbhú maidir le hAirteagal 111 den Chonradh ag bunú an Chomhphobail Eorpaigh
Dearbhú maidir le hAirteagal 137 den Chonradh ag bunú an Chomhphobail Eorpaigh
Dearbhú maidir le hAirteagal 175 den Chonradh ag bunú an Chomhphobail Eorpaigh
Dearbhú maidir le hAirteagal 181a den Chonradh ag bunú an Chomhphobail Eorpaigh
Dearbhú maidir le hAirteagal 191 den Chonradh ag bunú an Chomhphobail Eorpaigh
Dearbhú maidir le hAirteagal 225 den Chonradh ag bunú an Chomhphobail Eorpaigh
Dearbhú maidir le hAirteagal 225(2) agus (3) den Chonradh ag bunú an Chomhphobail Eorpaigh
Dearbhú maidir le hAirteagal 225(2) agus (3) den Chonradh ag bunú an Chomhphobail Eorpaigh
","OPUS QED, lines 19891 to 19900"
"""Airteagal 136
Áiritheoidh an Chúirt Bhreithiúnais agus an Chúirt Chéadchéime, faoi chuimsiú a ndlínsí faoi seach, go gcomhlíonfar an dlí i léiriú an Chonartha seo agus ina chur chun feidhme.
Ina theannta sin, féadfar painéil bhreithiúnacha a chur ag gabháil leis an gCúirt Chéadchéime faoi na coinníollacha ata leagtha síos in Airteagal 140b chun an inniúlacht bhreithiúnach dá bhforáiltear sa Chonradh seo a fheidhmiú i réimsí sonracha áirithe.""
Cuirtear an méid seo a leanas in ionad Airteagal 137:
""Airteagal 137
Breitheamh amháin in aghaidh an Bhallstáit a bheidh ar an gCúirt Bhreithiúnais.
Suífidh an Chúirt Bhreithiúnais i ndlísheomraí nó i Mór-Dhlísheomra i gcomhréir leis na rialacha ama mbunú chuige sin i Reacht na Cúirte Breithiúnais.
Féadfaidh an Chúirt Bhreithiúnais sui mar chúirt iomlán freisin nuair a fhoráiltear dò sin sa Reacht.""
CUID A hAON
","OPUS QED, lines 20485 to 20494"
"Fisic theoiriciúil fheidhmeach:
(a) imoibrithe núicléacha lagfhuinnimh, go háirithe imoibrithe a ionduchtaíodh le neodróin;
(b) scoilteadh;
(c) imoibriú radaíochta ianúcháin agus fotón le damhna;
(d) teoiric na staide soladaí;
(e) staidéar ar chomhleá, go háirithe maidir le hiompraíocht phlasma ianaithe faoi oibriú fórsai leictreamaighnéadacha agus le teirmidinimic teochtai fiorarda.
Fisic thurgnamhach fheidhmeach: (a) na hábhair a shonraítear in 1 thuas;
(b) staidéar ar airíonna dúile trasúráineacha a bhfuil tábhacht leo i réimse an fhuinnimh núicléach.
Ríomhaireachtaí imoibritheora: (a) fisic theoiriciúil mhacrascapach neodrón;
","OPUS QED, lines 18843 to 18852"
"CAIBIDIL 81
Barrai, slata, uiUinneacha, cruthanna agus teascáin, saoirsithe, de thantalam; plátaí, leatháin agus stiall, saoirsithe, de thantalam; scragall tantalaim; sreang agus filiméad de thantalam ex 81.04
Barrai, slata, uiUinneacha, cruthanna agus teascáin, saoirsithe, de mhiotail neamhlómhara eile; plátaí, leatháin agus stiall, saoirsithe, de mhiotail neamh lómhara eile; scragall, sreang agus filiméad, de mhiotail neamhlómhara eile
CAIBIDIL 93 ex 93.06
Stoic agus páirteanna eile adhmaid do ghunnaí
CAIBIDIL 95
Ábhar snoíodóireachta garbhchumtha, is é sin le rá, plátaí, leatháin, slata, feadáin agus a macasamhail, gan snasadh ná oibriú eile orthu ex 95.01 go ex 95.07
CAIBIDIL 98 ex 98.11
Blocáin gharbhchumtha d'adhmad nó de fhréamh, chun píopai a dhéanamh
","OPUS QED, lines 9169 to 9178"
